[ 2025-10-08 13:10:58,662 ] 20 root - INFO - Initiate the data ingestion
[ 2025-10-08 13:11:20,219 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-10-08 13:11:20,219 ] 64 root - INFO - Exited the split_data_as_train_test method of Data Ingestion class
[ 2025-10-08 13:11:20,219 ] 69 root - INFO - Exporting train and test file path.
[ 2025-10-08 13:11:20,328 ] 74 root - INFO - Exported train and test file path.
[ 2025-10-08 13:11:20,328 ] 22 root - INFO - Data Initiation Completed
[ 2025-10-08 13:11:20,338 ] 26 root - INFO - Initiate the data validation
[ 2025-10-08 13:11:20,388 ] 31 root - INFO - Required number of columns:114
[ 2025-10-08 13:11:20,388 ] 32 root - INFO - Data frame has columns:112
[ 2025-10-08 13:11:20,388 ] 31 root - INFO - Required number of columns:114
[ 2025-10-08 13:11:20,388 ] 32 root - INFO - Data frame has columns:112
[ 2025-10-08 13:11:20,680 ] 28 root - INFO - data validation Completed
[ 2025-10-08 13:11:20,680 ] 31 root - INFO - data transformation started
[ 2025-10-08 13:11:20,680 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-08 13:11:20,681 ] 65 root - INFO - Starting data transformation
[ 2025-10-08 13:11:20,746 ] 52 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2025-10-08 13:11:20,746 ] 55 root - INFO - Initialise KNNImputer with: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-08 13:11:20,769 ] 55 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-08 13:11:20,773 ] 59 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-08 13:11:20,775 ] 35 root - INFO - Data Transformation Completed
[ 2025-10-08 13:11:20,775 ] 37 root - INFO - Model Trainer Started
[ 2025-10-08 13:14:10,438 ] 55 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-08 13:14:10,449 ] 59 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-08 13:14:10,449 ] 120 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifact\\10_08_2025_13_10_55\\model_traine\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9733471789546556, precision_score=0.9743589743589743, recall_score=0.9723374827109267), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9413489736070382, precision_score=0.9358600583090378, recall_score=0.9469026548672567))
[ 2025-10-08 13:14:10,452 ] 47 root - INFO - Model Trainer artifact created
